ccn,with_CC,with_MCC,without_CC,total_cc_discharges,pct_without_CC,pct_with_CC,pct_with_MCC
010001,525,1547,99,2171,4.5601105481345,24.18240442192538,71.25748502994011
010005,195,368,34,597,5.6951423785594635,32.663316582914575,61.64154103852596
010006,548,1470,35,2053,1.7048222113979543,26.69264490988797,71.60253287871407
010007,0,95,0,95,0.0,0.0,100.0
010011,204,839,30,1073,2.7958993476234855,19.0121155638397,78.19198508853681
010012,11,197,0,208,0.0,5.288461538461538,94.71153846153845
010016,76,629,11,716,1.536312849162011,10.614525139664805,87.84916201117319
010019,188,450,36,674,5.341246290801187,27.89317507418398,66.76557863501483
010021,0,12,0,12,0.0,0.0,100.0
010023,257,801,57,1115,5.112107623318385,23.04932735426009,71.83856502242153
010024,324,825,47,1196,3.9297658862876257,27.09030100334448,68.9799331103679
010029,281,642,41,964,4.253112033195021,29.149377593361,66.59751037344398
010033,1957,3019,394,5370,7.3370577281191816,36.443202979515824,56.21973929236499
010035,284,844,57,1185,4.810126582278481,23.9662447257384,71.22362869198312
010036,61,178,0,239,0.0,25.523012552301257,74.47698744769873
010039,1989,3976,720,6685,10.770381451009724,29.75317875841436,59.47643979057592
010040,189,560,0,749,0.0,25.233644859813083,74.76635514018692
010044,0,18,0,18,0.0,0.0,100.0
010045,0,47,0,47,0.0,0.0,100.0
010046,116,742,17,875,1.9428571428571426,13.257142857142856,84.8
010049,48,193,0,241,0.0,19.91701244813278,80.08298755186722
010055,371,918,101,1390,7.266187050359712,26.69064748201439,66.0431654676259
010056,489,1247,108,1844,5.856832971800434,26.518438177874188,67.62472885032538
010061,11,120,0,131,0.0,8.396946564885496,91.6030534351145
010065,0,112,0,112,0.0,0.0,100.0
010069,0,29,0,29,0.0,0.0,100.0
010078,304,849,28,1181,2.3708721422523285,25.74089754445385,71.88823031329382
010079,84,248,30,362,8.287292817679557,23.204419889502763,68.50828729281768
010083,225,471,37,733,5.0477489768076405,30.69577080491132,64.25648021828103
010085,245,757,47,1049,4.480457578646329,23.355576739752145,72.16396568160152
010086,0,112,0,112,0.0,0.0,100.0
010087,103,320,24,447,5.369127516778524,23.042505592841163,71.58836689038031
010089,73,274,0,347,0.0,21.037463976945244,78.96253602305475
010090,213,684,61,958,6.367432150313153,22.233820459290186,71.39874739039665
010092,682,1802,141,2625,5.371428571428572,25.98095238095238,68.64761904761905
010097,13,0,0,13,0.0,100.0,0.0
010099,11,21,0,32,0.0,34.375,65.625
010100,369,748,64,1181,5.4191363251481794,31.24470787468247,63.336155800169344
010101,0,108,0,108,0.0,0.0,100.0
010103,117,520,0,637,0.0,18.367346938775512,81.63265306122449
010104,814,1762,269,2845,9.45518453427065,28.6115992970123,61.933216168717045
010108,53,248,0,301,0.0,17.60797342192691,82.39202657807309
010112,0,114,0,114,0.0,0.0,100.0
010113,623,1324,154,2101,7.329842931937172,29.652546406473107,63.01761066158972
010114,79,290,0,369,0.0,21.40921409214092,78.59078590785907
010118,11,196,0,207,0.0,5.314009661835748,94.68599033816425
010120,0,0,14,14,100.0,0.0,0.0
010125,25,152,0,177,0.0,14.124293785310735,85.87570621468926
010126,0,28,0,28,0.0,0.0,100.0
010129,0,66,0,66,0.0,0.0,100.0
010130,11,166,0,177,0.0,6.214689265536723,93.78531073446328
010131,395,640,164,1199,13.678065054211844,32.9441201000834,53.377814845704755
010139,84,475,16,575,2.782608695652174,14.608695652173914,82.6086956521739
010144,140,505,57,702,8.11965811965812,19.943019943019944,71.93732193732194
010148,18,44,13,75,17.333333333333336,24.0,58.666666666666664
010149,153,540,21,714,2.941176470588235,21.428571428571427,75.63025210084034
010158,22,0,0,22,0.0,100.0,0.0
010164,12,84,0,96,0.0,12.5,87.5
010168,78,0,112,190,58.94736842105262,41.05263157894737,0.0
010173,0,12,0,12,0.0,0.0,100.0
010175,0,17,0,17,0.0,0.0,100.0
020001,714,1921,133,2768,4.804913294797688,25.79479768786127,69.40028901734104
020006,225,805,18,1048,1.717557251908397,21.469465648854964,76.81297709923665
020008,0,89,0,89,0.0,0.0,100.0
020012,146,310,14,470,2.9787234042553195,31.06382978723404,65.95744680851064
020017,356,906,111,1373,8.08448652585579,25.928623452294246,65.98689002184996
020018,15,37,0,52,0.0,28.846153846153843,71.15384615384616
020024,96,236,12,344,3.488372093023256,27.906976744186046,68.6046511627907
020026,195,432,58,685,8.467153284671532,28.467153284671532,63.065693430656935
030002,375,1295,109,1779,6.127037661607645,21.079258010118043,72.79370432827432
030006,1122,2051,406,3579,11.343950824252584,31.34953897736798,57.306510198379435
030007,197,438,38,673,5.646359583952452,29.271916790490344,65.0817236255572
030010,98,468,28,594,4.713804713804714,16.4983164983165,78.78787878787878
030011,271,601,25,897,2.787068004459309,30.211817168338907,67.00111482720177
030012,670,1198,233,2101,11.089957163255592,31.88957639219419,57.02046644455021
030013,461,1225,104,1790,5.810055865921788,25.754189944134076,68.43575418994413
030014,404,799,72,1275,5.647058823529412,31.68627450980392,62.66666666666667
030016,51,564,0,615,0.0,8.292682926829269,91.70731707317074
030022,0,116,0,116,0.0,0.0,100.0
