ccn,hospital_name,state,beds,ownership_category,doc_gap_score,gap_tier,census_region,bed_size_tier,shiftable_discharges,estimated_shift_rate,estimated_shifted_cases,estimated_annual_revenue_opportunity
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,420.0,Government,58.97,Medium,South,400-599,4030.0,0.05922142857142857,239,1384160
010005,MARSHALL MEDICAL CENTERS,AL,240.0,Government,62.83,Medium,South,200-399,1420.0,0.06749285714285713,96,555980
010006,NORTH ALABAMA MEDICAL CENTER,AL,338.0,For-Profit,53.16,Medium,South,200-399,3497.0,0.04677142857142857,164,949800
010007,MIZELL MEMORIAL HOSPITAL,AL,99.0,Nonprofit,37.59,Low,South,25-99,352.0,0.03301428571428572,12,69498
010008,CRENSHAW COMMUNITY HOSPITAL,AL,65.0,For-Profit,70.97,High,South,25-99,124.0,0.0836457142857143,10,57915
010011,ST. VINCENT'S EAST,AL,362.0,Nonprofit,50.12,Medium,South,200-399,2443.0,0.04025714285714285,98,567563
010012,DEKALB REGIONAL MEDICAL CENTER,AL,134.0,For-Profit,37.31,Low,South,100-199,577.0,0.032842857142857146,19,110038
010016,SHELBY BAPTIST MEDICAL CENTER,AL,252.0,Nonprofit,31.67,Low,South,200-399,1441.0,0.02938979591836735,42,243241
010018,CALLAHAN EYE HOSPITAL,AL,106.0,Nonprofit,73.52,High,South,100-199,13.0,0.08947428571428571,1,5791
010019,HELEN KELLER HOSPITAL,AL,185.0,Government,65.06,High,South,100-199,1495.0,0.07013714285714287,105,608104
010021,DALE MEDICAL CENTER,AL,89.0,Government,27.04,Low,South,25-99,212.0,0.026555102040816327,6,34749
010022,FLOYD CHEROKEE MEDICAL CENTER,AL,60.0,For-Profit,71.01,High,South,25-99,135.0,0.08373714285714287,11,63706
010023,BAPTIST MEDICAL CENTER SOUTH,AL,432.0,Government,53.98,Medium,South,400-599,2370.0,0.04852857142857142,115,666018
010024,JACKSON HOSPITAL & CLINIC INC,AL,344.0,Nonprofit,54.0,Medium,South,200-399,2425.0,0.04857142857142857,118,683393
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,429.0,Government,54.33,Medium,South,400-599,2312.0,0.04927857142857142,114,660227
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,1157.0,Government,51.8,Medium,South,600+,8660.0,0.04385714285714285,380,2200756
010034,COMMUNITY HOSPITAL INC,AL,69.0,Nonprofit,72.89,High,South,25-99,115.0,0.08803428571428573,10,57915
010035,CULLMAN REGIONAL MEDICAL CENTER,AL,115.0,Government,62.39,Medium,South,100-199,2443.0,0.06655,163,944009
010036,ANDALUSIA HEALTH,AL,88.0,For-Profit,45.77,Low,South,25-99,690.0,0.03802244897959184,26,150578
010039,HUNTSVILLE HOSPITAL,AL,881.0,Government,71.43,High,South,600+,9934.0,0.08469714285714289,841,4870621
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,346.0,For-Profit,53.25,Medium,South,200-399,1646.0,0.046964285714285715,77,445943
010044,MARION REGIONAL MEDICAL CENTER,AL,57.0,Nonprofit,36.62,Low,South,25-99,103.0,0.0324204081632653,3,17374
010045,FAYETTE MEDICAL CENTER,AL,61.0,Nonprofit,38.51,Low,South,25-99,203.0,0.033577551020408165,7,40540
010046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,281.0,For-Profit,52.07,Medium,South,200-399,1778.0,0.04443571428571429,79,457526
010049,MEDICAL CENTER ENTERPRISE,AL,131.0,For-Profit,48.57,Low,South,100-199,655.0,0.03973673469387755,26,150578
010051,GREENE COUNTY HOSPITAL,AL,20.0,Nonprofit,68.45,High,South,1-24,16.0,0.0778857142857143,1,5791
010052,LAKE MARTIN COMMUNITY HOSPITAL,AL,46.0,For-Profit,71.86,High,South,25-99,120.0,0.08568,10,57915
010055,FLOWERS HOSPITAL,AL,235.0,For-Profit,54.33,Medium,South,200-399,2753.0,0.04927857142857142,136,787639
010056,ST VINCENT'S BIRMINGHAM,AL,409.0,Nonprofit,56.14,Medium,South,400-599,3413.0,0.05315714285714286,181,1048255
010058,BIBB MEDICAL CENTER,AL,35.0,Government,72.39,High,South,25-99,73.0,0.08689142857142858,6,34749
