ccn,hospital_name,city,state,zip_code,county,beds,bed_size_tier,ownership,ownership_category,is_teaching,is_urban,census_region,peer_group,overall_rating,cmi,wage_index,resident_to_bed_ratio,dsh_pct,staffed_beds_cms,medicare_discharges_impact,total_charges,total_payments,total_medicare_payments,avg_payment_per_discharge,charge_to_payment_ratio,distinct_drgs,medicare_discharges_puf,with_CC,with_MCC,without_CC,total_cc_discharges,pct_without_CC,pct_with_CC,pct_with_MCC,data_completeness,mcc_ratio,cc_ratio,low_severity_ratio,severity_index,cmi_percentile,log_cmi,cmi_per_bed,payment_per_discharge,log_total_payments,payment_per_bed,drg_diversity,is_large,is_safety_net,teaching_intensity
010001,SOUTHEAST HEALTH MEDICAL CENTER,DOTHAN,AL,36301,HOUSTON,420.0,400-599,Government - Hospital District or Authority,Government,True,True,South,400-599_teaching_government,4,2.0638,0.9007,0.1241,0.2743,353.0,4030.0,193461714.99926,42752905.9999661,36309558.0001097,14385.230820984556,4.525112632096013,91.0,2972.0,525.0,1547.0,99.0,2171.0,4.5601105481345,24.18240442192538,71.25748502994011,full,0.7125748502994012,0.2418240442192538,0.045601105481345,0.8334868724090281,82.51633986928104,0.724548943699477,0.004913809523809524,14385.230820984556,17.570947727644132,101792.63333325261,91.0,1,1,minor_teaching
010005,MARSHALL MEDICAL CENTERS,BOAZ,AL,35957,MARSHALL,240.0,200-399,Government - Hospital District or Authority,Government,False,False,South,200-399_non_teaching_government,3,1.545,0.8293,0.0,0.304,178.0,1420.0,16374595.000043,7408886.000035,6101017.0000338,9414.086404110549,2.2101291611135125,31.0,787.0,195.0,368.0,34.0,597.0,5.695142378559464,32.663316582914575,61.64154103852596,full,0.6164154103852596,0.32663316582914576,0.056951423785594646,0.7797319932998324,28.823529411764703,0.4350239103497087,0.0064375,9414.086404110549,15.81819064859328,30870.358333479166,31.0,0,1,non_teaching
010006,NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,35630,LAUDERDALE,338.0,200-399,Proprietary,For-Profit,False,True,South,200-399_non_teaching_for_profit,2,1.8479,0.8541,0.1722,0.2041,223.0,3497.0,148307098.00047,30459918.0000964,25358923.9999973,11485.640271529564,4.86892637071448,76.0,2652.0,548.0,1470.0,35.0,2053.0,1.7048222113979543,26.69264490988797,71.60253287871407,full,0.7160253287871408,0.2669264490988797,0.017048222113979543,0.8494885533365806,65.65359477124183,0.6140498592012429,0.0054671597633136094,11485.640271529564,17.231922213375675,90118.10059200118,76.0,0,0,minor_teaching
010007,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467,COVINGTON,99.0,25-99,Voluntary non-profit - Private,Nonprofit,False,False,South,25-99_non_teaching_nonprofit,1,1.4097,0.8293,0.0,0.1848,45.0,352.0,1791428.0000103,1304988.0000089,1178733.9999941,10357.047619118252,1.37275438547947,7.0,126.0,0.0,95.0,0.0,95.0,0.0,0.0,100.0,full,1.0,0.0,0.0,1.0,14.54248366013072,0.34337691579474267,0.014239393939393939,10357.047619118252,14.081704403301174,13181.696969786868,7.0,0,0,non_teaching
010008,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,36049,CRENSHAW,65.0,25-99,Proprietary,For-Profit,False,False,South,25-99_non_teaching_for_profit,Not Available,1.0732,0.8293,0.0,0.2731,29.0,124.0,159035.000003,73076.0000003,58676.0000002,6643.2727273,2.176295911138364,1.0,11.0,,,,,0.0,0.0,0.0,partial,0.0,0.0,0.0,0.0,2.287581699346405,0.07064483956933196,0.016510769230769228,6643.2727273,11.199255274460565,1124.2461538507694,1.0,0,1,non_teaching
010011,ST. VINCENT'S EAST,BIRMINGHAM,AL,35235,JEFFERSON,362.0,200-399,Voluntary non-profit - Private,Nonprofit,True,True,South,200-399_teaching_nonprofit,2,1.8657,0.8374,0.0769,0.2205,276.0,2443.0,87152983.999969,20345810.9999099,16183132.0000722,12451.536719651102,4.283583682181799,52.0,1634.0,204.0,839.0,30.0,1073.0,2.795899347623485,19.0121155638397,78.19198508853681,full,0.7819198508853681,0.190121155638397,0.02795899347623485,0.8769804287045666,67.43464052287582,0.6236363177958162,0.0051538674033149165,12451.536719651102,16.828385600993062,56203.89778980635,52.0,0,0,minor_teaching
010012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,35968,DE KALB,134.0,100-199,Proprietary,For-Profit,False,False,South,100-199_non_teaching_for_profit,3,1.627,0.8293,0.0,0.3183,97.0,577.0,18168569.999947,2962523.9999678,2596864.0000113,11617.741176344314,6.132800949509431,10.0,255.0,11.0,197.0,0.0,208.0,0.0,5.288461538461538,94.71153846153844,full,0.9471153846153844,0.052884615384615384,0.0,0.9735576923076921,40.04901960784314,0.48673782823690076,0.01214179104477612,11617.741176344314,14.901552165647661,22108.388059461195,10.0,0,1,non_teaching
010016,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,35007,SHELBY,252.0,200-399,Voluntary non-profit - Private,Nonprofit,False,True,South,200-399_non_teaching_nonprofit,2,2.1498,0.8374,0.0,0.1514,212.0,1441.0,112450731.000124,11799465.999931,9569318.0000063,13996.994068720049,9.530154246029571,32.0,843.0,76.0,629.0,11.0,716.0,1.536312849162011,10.614525139664805,87.84916201117319,full,0.8784916201117319,0.10614525139664804,0.015363128491620111,0.9315642458100559,86.81372549019608,0.7653748145568261,0.00853095238095238,13996.994068720049,16.283564834168754,46823.27777750397,32.0,0,0,non_teaching
010018,CALLAHAN EYE HOSPITAL,BIRMINGHAM,AL,35233,JEFFERSON,106.0,100-199,Voluntary non-profit - Private,Nonprofit,True,True,South,100-199_teaching_nonprofit,Not Available,1.3173,0.8374,1.0933,0.07893,6.0,13.0,,,,,,,,,,,,0.0,0.0,0.0,partial,0.0,0.0,0.0,0.0,9.215686274509805,0.27558418725364436,0.012427358490566037,,0.0,0.0,,0,0,major_teaching
010019,HELEN KELLER HOSPITAL,SHEFFIELD,AL,35660,COLBERT,185.0,100-199,Government - Hospital District or Authority,Government,False,True,South,100-199_non_teaching_government,2,1.3869,0.8293,0.0,0.2974,178.0,1495.0,25469740.000015,7760003.9999934,6440613.9999459,7783.354062179939,3.2821812978494167,39.0,997.0,188.0,450.0,36.0,674.0,5.341246290801187,27.89317507418398,66.76557863501483,full,0.6676557863501483,0.2789317507418398,0.05341246290801187,0.8071216617210681,12.810457516339868,0.3270710406801524,0.0074967567567567565,7783.354062179939,15.864493407622335,41945.96756753189,39.0,0,1,non_teaching
010021,DALE MEDICAL CENTER,OZARK,AL,36360,DALE,89.0,25-99,Government - Hospital District or Authority,Government,False,False,South,25-99_non_teaching_government,3,1.5963,0.8293,0.0,0.3186,77.0,212.0,710942.000004,383517.0,340448.9999988,10653.25,1.8537431196113865,2.0,36.0,0.0,12.0,0.0,12.0,0.0,0.0,100.0,full,1.0,0.0,0.0,1.0,35.3921568627451,0.4676884512882963,0.017935955056179776,10653.25,12.85713922735977,4309.179775280899,2.0,0,1,non_teaching
010022,FLOYD CHEROKEE MEDICAL CENTER,CENTRE,AL,35960,CHEROKEE,60.0,25-99,Proprietary,For-Profit,False,False,South,25-99_non_teaching_for_profit,Not Available,0.9632,0.9766,0.0,0.5356,45.0,135.0,903624.999984,540871.0000029,454759.0000002,8585.2539683,1.6706848767620284,1.0,63.0,,,,,0.0,0.0,0.0,partial,0.0,0.0,0.0,0.0,0.8169934640522877,-0.037494204427580516,0.016053333333333333,8585.2539683,13.20093608208112,9014.516666715,1.0,0,1,non_teaching
010023,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,36116,MONTGOMERY,432.0,400-599,Government - Hospital District or Authority,Government,True,True,South,400-599_teaching_government,1,2.1639,0.8661,0.1211,0.3857,348.0,2370.0,94483134.999792,29120526.9998902,22780997.999938,18751.14423689002,3.244554434064612,65.0,1553.0,257.0,801.0,57.0,1115.0,5.112107623318385,23.04932735426009,71.83856502242153,full,0.7183856502242153,0.2304932735426009,0.051121076233183856,0.8336322869955158,87.22222222222223,0.7719121491955996,0.005009027777777778,18751.14423689002,17.1869538786527,67408.62731456065,65.0,1,1,minor_teaching
010024,JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,36106,MONTGOMERY,344.0,200-399,Voluntary non-profit - Private,Nonprofit,False,True,South,200-399_non_teaching_nonprofit,2,1.8314,0.8306,0.0283,0.2595,278.0,2425.0,82171389.000249,17604726.0001287,14054853.9999516,10873.827053816369,4.667575570312669,58.0,1619.0,324.0,825.0,47.0,1196.0,3.9297658862876257,27.09030100334448,68.9799331103679,full,0.689799331103679,0.2709030100334448,0.039297658862876256,0.8252508361204014,63.75816993464052,0.6050807016914946,0.005323837209302325,10873.827053816369,16.683677946697188,51176.52907014157,58.0,0,1,minor_teaching
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,OPELIKA,AL,36801,LEE,429.0,400-599,Government - Hospital District or Authority,Government,False,True,South,400-599_non_teaching_government,3,1.8581,0.8436,0.0437,0.3006,297.0,2312.0,51065252.000128,20522188.9999408,15951522.0000565,13334.755685471604,2.4882945966570778,51.0,1539.0,281.0,642.0,41.0,964.0,4.253112033195021,29.149377593361,66.59751037344398,full,0.6659751037344398,0.29149377593361,0.04253112033195021,0.8117219917012448,66.76470588235294,0.6195544602565719,0.004331235431235431,13334.755685471604,16.83701724898769,47837.27039613241,51.0,1,1,minor_teaching
010033,UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,35233,JEFFERSON,1157.0,600+,Government - State,Government,True,True,South,600+_teaching_government,3,2.6829,0.8374,0.2868,0.3367,1138.0,8660.0,1038080447.995868,235861978.9994726,166723126.0000403,30180.675495773845,4.401219952445957,226.0,7815.0,1957.0,3019.0,394.0,5370.0,7.337057728119181,36.443202979515824,56.21973929236499,full,0.5621973929236499,0.36443202979515826,0.07337057728119181,0.7444134078212291,96.69934640522875,0.9868982990381081,0.0023188418323249783,30180.675495773845,19.27875735715934,203856.50734613015,226.0,1,1,major_teaching
010034,COMMUNITY HOSPITAL INC,TALLASSEE,AL,36078,ELMORE,69.0,25-99,Voluntary non-profit - Private,Nonprofit,False,True,South,25-99_non_teaching_nonprofit,Not Available,1.0899,0.8661,0.0,0.2172,37.0,115.0,,,,,,,,,,,,0.0,0.0,0.0,partial,0.0,0.0,0.0,0.0,2.6143790849673203,0.08608594891312898,0.015795652173913044,,0.0,0.0,,0,0,non_teaching
010035,CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,35058,CULLMAN,115.0,100-199,Government - Hospital District or Authority,Government,False,False,South,100-199_non_teaching_government,2,1.3722,0.8569,0.0,0.216,137.0,2443.0,54349499.000104,17357172.9999569,14711367.9999708,9542.15118194442,3.131241418187107,58.0,1819.0,284.0,844.0,57.0,1185.0,4.810126582278481,23.9662447257384,71.22362869198312,full,0.7122362869198312,0.23966244725738398,0.04810126582278481,0.8320675105485232,12.107843137254902,0.31641529127465345,0.011932173913043478,9542.15118194442,16.669516408311086,150931.93913006,58.0,0,0,non_teaching
010036,ANDALUSIA HEALTH,ANDALUSIA,AL,36420,COVINGTON,88.0,25-99,Proprietary,For-Profit,False,False,South,25-99_non_teaching_for_profit,2,1.3428,0.8293,0.0,0.333,83.0,690.0,16483600.000023,3093911.9999908,2673458.0000125,8890.551724111494,5.327753342716928,16.0,348.0,61.0,178.0,0.0,239.0,0.0,25.523012552301257,74.47698744769873,full,0.7447698744769873,0.25523012552301255,0.0,0.8723849372384936,10.490196078431373,0.2947569861237428,0.01525909090909091,8890.551724111494,14.9449468675616,35158.09090898636,16.0,0,1,non_teaching
010039,HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,35801,MADISON,881.0,600+,Government - Hospital District or Authority,Government,True,True,South,600+_teaching_government,2,2.0092,0.8615,0.0677,0.2664,904.0,9934.0,714239852.000382,135005936.9999261,111129802.0001406,14484.061474082831,5.290432908893281,212.0,9321.0,1989.0,3976.0,720.0,6685.0,10.770381451009724,29.75317875841436,59.47643979057592,full,0.5947643979057592,0.2975317875841436,0.10770381451009724,0.743530291697831,79.52614379084967,0.6977366328937525,0.0022805902383654935,14484.061474082831,18.72082931321294,153241.69920536445,212.0,1,1,minor_teaching
